Date,Forecast_Revenue
2026-01-01,5061.120996000001
2026-01-02,5157.8151093650795
2026-01-03,5266.170996984129
2026-01-04,5347.417696253968
2026-01-05,4857.295119190477
2026-01-06,4705.48933357143
2026-01-07,5144.728985603171
2026-01-08,5036.692912369408
2026-01-09,5252.946808369407
2026-01-10,5335.0867412222215
2026-01-11,5337.378282492061
2026-01-12,5131.163885746033
2026-01-13,5252.512571984126
2026-01-14,5137.182845079366
2026-01-15,5038.484402507936
2026-01-16,5258.601199936507
2026-01-17,5344.768380222222
2026-01-18,5380.601211206349
2026-01-19,5157.297503269844
2026-01-20,5147.350517841272
2026-01-21,5124.370557269842
2026-01-22,5008.305148984126
2026-01-23,5220.274465460317
2026-01-24,5165.434914349205
2026-01-25,5324.155185349206
2026-01-26,5203.590852984127
2026-01-27,5192.145960603175
2026-01-28,5088.569338412698
2026-01-29,4911.852799079365
2026-01-30,5183.433837079365
